dt_s,dx_m,n_cells,n_steps,tau_fitted_s,fit_rmse_norm,tau_pred_s,tau_pred_bot_s,tau_pred_SPP_s,tau_pred_PPL_s,tau_pred_PPL_outlet_s,e_pred,e_bot,e_SPP,Pi,Pi_bot,G_mix_pred,G_mix,G_P,height_m,area_m2,temperature_C,K_s_mol_m3_Pa,D_l_m2_s,Bo,nozzle_flow_cm3_s,h_l0_m_s,a_0_1_m,eps_g0,eps_gH,u_g0_m_s,d_b0_m,P_top_Pa,E_l_m2_s,E_g_m2_s,sample_id,k_s_scale,p_top_scale,e_l_scale
23830.302743848573,0.013285714285714286,70,201,2392396.4183193683,1.0174993733747103e-07,2383030.274384857,664618.108433807,663892.258364218,2309524.4836765705,2305044.2114934963,0.003930350375816707,2.5996557842173815,2.6035913782366706,3.478763993071812,3.4817109835166615,0.0017232681852567709,0.0017165216537299358,0.0038889769188024626,0.93,0.13,550.0,0.0015033388409368955,2.010668403011028e-09,865340.4819218016,0.13438703379817302,1.6743222881629262e-05,0.08986170861738632,3.246477974762314e-05,3.259102814465661e-05,4.134985655328401e-06,0.0021676493968650332,4717947.048847477,0.00021061217211545567,1.3688550858519578e-07,0,3.1650594102156204,38.802097613681035,0.045093520396196296
347.19111706946455,0.01660714285714286,56,200,34873.49099361378,1.2991651890103849e-08,34719.11170694645,41088.02485491463,34547.7945562257,342.06981020375906,236.77475513079673,0.004446521788068593,-0.15124927234260852,0.009427416180156257,0.009901350132410006,0.011234434711238047,0.007174622794831344,0.007142861903747168,0.9506604573455614,0.93,0.13,550.0,3.780104202474178e-05,2.010668403011028e-09,14113.63188687829,16.906411589385172,1.782822442642536e-05,1.3624209747811538,0.001990493189666653,0.003877671614202893,0.0005201972796733899,0.008765983025120645,19300.25282457981,0.0034721479221976824,1.7220729436139242e-05,1,0.07958454908395947,0.1587322380506605,0.1743093455733704
4557.028285075378,0.01660714285714286,56,201,457975.09008213156,1.3005535648239744e-09,455702.82850753784,454791.45025535213,453794.37911604973,3811.563034616274,3796.710513874946,0.004986279286515634,0.007000219166371548,0.00921278702090905,0.00839931742222293,0.008413610541505526,0.005442849548839286,0.005415844634917211,0.007830272857367777,0.93,0.13,550.0,4.985815806191368e-06,2.010668403011028e-09,512093.7054336283,0.26952383949261116,1.7705122423460205e-05,0.12418380099623999,5.4859272539788044e-05,5.528879988276068e-05,8.293041215157267e-06,0.0026505521058152698,2343211.7259918097,0.00034870473383042907,2.745347285526762e-07,2,0.01049690382851631,19.271418093525863,0.06059217924429939
366.0750265408078,0.00920792079207921,100,201,36857.225283292035,0.00043614601202837417,36607.50265408078,41442.933006146304,34952.3638187472,3259.6202280000366,2273.6063982719,0.0068216242875397595,-0.11065113857106045,0.054498787962464865,0.09325893507241684,0.10559762422488465,25.429574702996614,25.257279034895006,0.9258931310686753,0.93,0.13,550.0,0.0003535206794027579,2.010668403011028e-09,14312.224297495766,16.677708016612247,1.7854339324920483e-05,1.348815130049365,0.00196287366438275,0.0037754786442036016,0.0005131602466649922,0.008731546469133593,19816.528021892304,9.290876724376992e-07,1.6987773889837876e-05,3,0.7442859338033203,0.16297827141946133,4.683318269323209e-05
683.948186515713,0.01660714285714286,56,200,68718.07186667078,8.510920115458751e-07,68394.8186515713,72005.10312005761,67728.82598354934,1327.6478487765232,1182.875794395036,0.004726282216585054,-0.0456499763344023,0.014605980079467557,0.019602404581750697,0.020536585371913395,0.7785972234055702,0.7749346634865185,0.25025648822789104,0.93,0.13,550.0,4.967677140879435e-05,2.010668403011028e-09,35132.9126096536,6.943747455557225,1.9605013128866558e-05,0.7078189328473717,0.0007996230903034811,0.0009995337739275912,0.00021365376786329924,0.0067782003548857205,73316.72919661438,1.624163865769378e-05,7.072843079255699e-06,4,0.10458715529397725,0.6029832156971329,0.0010648527425061696
31494.904489810346,0.01660714285714286,56,200,3163995.895668052,8.557083930841737e-08,3149490.4489810346,1070056.585280651,1069583.1011961484,2949718.814953545,2947401.2970652827,0.004605648730165403,1.9568491416163842,1.9581580824619012,2.757821072205406,2.7587672442694995,0.0013521584850619153,0.001345959468544758,0.0015728577106836456,0.93,0.13,550.0,0.000777435593439076,2.010668403011028e-09,1623482.7420452898,0.05447717483546673,1.502942817818345e-05,0.06217893559930017,1.7304211141105958e-05,1.733142748038677e-05,1.676220764168207e-06,0.0016697819904109828,11665382.731361747,0.00020309442574760722,5.5489994628774005e-08,5,1.6367766027500654,95.94031360606749,0.0570126877295796
52623.989348560775,0.00920792079207921,100,201,4533488.046272998,0.0032973049842436827,5262398.934856078,1037478.2593922799,1036990.7245898547,5228395.905136009,5224033.300826425,-0.13851304274084172,3.3697185991430447,3.371772995429694,5.041892642968352,5.043729743887493,2.3140247035532244,2.6860821096065695,0.0016705134580033084,0.93,0.13,550.0,0.0014634973136063573,2.010668403011028e-09,1560883.0209729488,0.05785391823614199,1.5164941360004119e-05,0.06355832499451165,1.7998202155330015e-05,1.8028267561021517e-05,1.7801205611120615e-06,0.001699056936149672,10983441.701230338,7.102547353368667e-08,5.89295172129046e-08,6,3.0811789186317697,90.33178469635939,1.958178101108896e-05
1580.0705078329083,0.0027034883720930235,344,200,158791.47668271704,2.8149675136051355e-06,158007.05078329082,159121.34944584462,156816.25917755064,2375.5853384017278,2313.983934012755,0.004964499340615328,-0.0020730892760550163,0.012595744315836611,0.015148845858592,0.015320433777898641,295.08449804959764,293.626788053917,0.05352197765590924,0.93,0.13,550.0,2.077414445707609e-05,2.010668403011028e-09,114179.30372457956,1.762366547700922,1.9409614490595814e-05,0.3237037783633489,0.000246043610670974,0.00025920803382901183,5.422666300618222e-05,0.004560532692852227,342812.20501713414,1.854996246610374e-08,1.7951318246809618e-06,7,0.04373691386971046,2.819411177046913,1.8350675171716544e-06
962.7841260897534,0.01660714285714286,56,201,96759.78384756298,5.250199309568617e-07,96278.41260897534,99472.65400821049,96119.15873983603,318.3320271053012,298.90922898268974,0.004999783705851915,-0.027272522158940157,0.006664905479051513,0.0033118478280373294,0.003400135637461225,1.1057055519423504,1.100204766079804,0.13156346057072082,0.93,0.13,550.0,6.597754125317697e-06,2.010668403011028e-09,57674.54066126044,4.033332830266503,1.99181402088515e-05,0.504470661928528,0.00048709686856965756,0.0005511408727074481,0.00012410254862358473,0.005793362096113349,139461.11707237436,8.124515762790304e-06,4.108319085259126e-06,8,0.013890603509992239,1.1469785103411,0.0006269546848584604
29427.335298667338,0.0026956521739130435,345,200,2888217.177843277,7.048295294925648e-07,2942733.5298667336,172852.28783110107,170693.05939350315,2942733.434025586,2877007.517651189,-0.018525752151920316,15.709163726345565,15.920530852897741,17.239912650704948,17.408100384699974,0.024997448617110948,0.025469286302639952,0.045897132331591775,0.93,0.13,550.0,0.022148591057804246,2.010668403011028e-09,128713.55137779533,1.5223140914082791,1.9308169478293397e-05,0.29956354820005576,0.00021826053163458712,0.00022827512220661373,4.68404335817932e-05,0.004371570565498059,399763.25850908866,1.1757616078689989e-05,1.5506164005508798e-06,9,46.63060957490652,3.2877971750068977,0.0012153626330164407
