dt_s,dx_m,n_cells,n_steps,tau_fitted_s,fit_rmse_norm,tau_pred_s,tau_pred_bot_s,tau_pred_SPP_s,tau_pred_PPL_s,tau_pred_PPL_outlet_s,e_pred,e_bot,e_SPP,Pi,Pi_bot,G_mix_pred,G_mix,G_P,height_m,area_m2,temperature_C,K_s_mol_m3_Pa,D_l_m2_s,Bo,nozzle_flow_cm3_s,h_l0_m_s,a_0_1_m,eps_g0,eps_gH,u_g0_m_s,d_b0_m,P_top_Pa,E_l_m2_s,E_g_m2_s,sample_id,design_role,base_index,var_index,scenario,temperature_K,gas_flow_sccm,top_pressure_atm,nozzle_diameter_mm,t_extract_50_s,t_extract_90_s,t_extract_99_s,tau_fitted_2tau_s,fit_rmse_norm_2tau,tau_fit_nodisc_s,K_s_correlation,D_l_correlation,kanai_in_range,solve_time_s
3157.341972205707,0.0465,20,251,159439.52142183777,1.1505516152825652e-10,157867.09861028535,163016.22696677054,157836.73601824706,60.72129073372773,57.2305035603048,0.009960421299907,-0.0219407945545314,0.0101547044371559,0.0003847094932747,0.0003943748821391,0.0006967908211751,0.0006899189378909,0.1234447122724336,0.93,0.13,530.8725241571665,2.427111037650665e-07,4.9119144370386245e-09,232439.00265873992,0.762721130690784,3.277567808137267e-05,0.1871392930620501,0.0001208621953757,0.0001357687699884,2.346834248279336e-05,0.0038750449485467,149232.41334578488,0.0078627025926193,7.769013641604978e-07,0,A,0,-1,optimistic,804.0225241571665,102.84076547019554,1.4728094087913632,3.4589863773435354,110515.13457108157,367129.3209783855,734253.8586474453,159439.52141382132,1.804028935461084e-10,157860.8504357349,K_s_malinauskas,D_l_fukada,False,30.64293932914734
588.4151328523259,0.0465,20,250,29713.797511611192,7.023042885891124e-10,29420.756642616296,30228.00158198952,29412.34982923117,16.81202515171727,15.994293653481384,0.0099603444110755,-0.0170108523047285,0.0102490173049835,0.0005715974836872,0.0005837437161482,0.0022494718808739,0.0022272873319453,0.1032575171262453,0.93,0.13,597.6687639951706,3.3467135964569885e-07,8.717853127407788e-09,56174.12138803757,4.1485651826553935,5.940078581230638e-05,0.5566486052909175,0.0005001072995558,0.0005517202656795,0.0001276481594663,0.0053905529786907,175906.36075185612,0.0130686729805101,4.22569379557464e-06,1,A,1,-1,optimistic,870.8187639951706,597.8351547230437,1.736060801893473,1.1480785179883242,20596.04955532516,68419.7127867072,136838.53448331013,29713.797502480185,1.101175960318666e-09,29419.589945185027,K_s_malinauskas,D_l_fukada,True,30.46325206756592
558.2950885802501,0.0465,20,250,28192.53002401325,1.066776047036664e-09,27914.754429012504,29136.306987281765,27902.853543728877,23.79838762026545,21.965498919264075,0.0099508521813124,-0.0323917840267294,0.0103816077388069,0.0008529015709081,0.0008816052138231,0.0024775498213704,0.0024531389978229,0.169503374847697,0.93,0.13,640.3732800856233,4.009869891691487e-07,1.2039517202729688e-08,66625.44901400674,3.582272169213569,7.856849532085055e-05,0.4366504356388428,0.000421657017972,0.0004930741206736,0.0001102237590527,0.0057939759160682,106183.829639107,0.0125057484566932,3.648872468677542e-06,2,A,2,-1,optimistic,913.5232800856232,314.8847981010606,1.0479529201984406,2.537227342836559,19541.584561131476,64916.80244408068,129832.766241439,28192.530010852734,1.672646938143963e-09,27913.38247972312,K_s_malinauskas,D_l_fukada,True,30.441081285476685
1934.2874221116497,0.0465,20,250,97678.04067191112,4.7244360878391286e-11,96714.37110558248,99380.50241394975,96709.01697004524,10.70807346646095,10.189154541572348,0.0099640782989388,-0.0171307419532592,0.0100199932976883,0.0001107246645861,0.0001130688992278,0.000744767815765,0.0007374201041085,0.1028562608657532,0.93,0.13,482.1710942313075,1.852689333492736e-07,3.032561679608877e-09,66276.09159590545,3.1282844047521072,2.1448172425075583e-05,0.4689476804436386,0.000423879674794,0.0004674548150397,9.62549047616033e-05,0.0054233727019575,180934.81685717124,0.0120075383981795,3.1864443290469454e-06,3,A,3,-1,optimistic,755.3210942313075,534.4025784010208,1.7856878051534295,2.105707756243646,67705.3099260823,224915.83649499653,449828.7335605784,97678.04066989428,7.407759283307475e-11,96710.89696085532,K_s_malinauskas,D_l_fukada,True,30.09750843048096
3515.123650559436,0.0465,20,250,177507.23660931498,3.7635424056016297e-11,175756.18252797177,181378.92620101813,175744.128675946,24.107152914288875,22.75293118435228,0.009962972887537,-0.0213458623490374,0.010032243732136,0.0001371718821898,0.0001405391745917,0.0005343081484523,0.0005290373635428,0.1204157513135412,0.93,0.13,473.24393168091774,1.7564811361544747e-07,2.757109960401185e-09,135655.35318970052,1.292224323275196,1.8913761245075036e-05,0.2914374263104397,0.0002070916295725,0.0002320086677553,3.976074840846757e-05,0.0042635216525404,154836.88374361955,0.0092100818259932,1.3162488872500911e-06,4,A,4,-1,optimistic,746.3939316809177,194.21211154057497,1.528121231123805,2.3342349901795387,123038.73274650377,408732.4862557768,817459.635643166,177507.2366063948,5.901099726765759e-11,175749.67478403525,K_s_malinauskas,D_l_fukada,False,30.7224063873291
773.7924618630013,0.0465,20,251,39074.85975125415,5.0516812740898e-10,38689.62309315007,40129.48354887646,38678.7212557744,21.80162663586767,20.372840397490243,0.0099571054795902,-0.0262805225573812,0.0102417681510247,0.0005636594470561,0.000579799519109,0.0018339229897806,0.0018158424549227,0.1421265120398163,0.93,0.13,605.6664060801268,3.466592555415342e-07,9.283310039760042e-09,73481.70400836821,3.2892278630621963,6.296062111025532e-05,0.3956410603076578,0.0003823140539731,0.0004366151765611,0.0001012070111711,0.0057978924686306,127581.59790064674,0.0121896238250733,3.3503799895164176e-06,5,A,5,-1,optimistic,878.8164060801267,352.6557143097537,1.2591324737295508,3.0235667414963245,27084.64731213844,89974.72119544538,179948.2735925053,39074.85974262048,7.920802790840095e-10,38687.96352032265,K_s_malinauskas,D_l_fukada,True,31.120837211608887
1868.9452153603688,0.0465,20,250,94378.06934755314,3.16664548573166e-10,93447.26076801844,95756.35092000144,93418.41798895644,57.67962257280296,55.14293223331334,0.0099607904168043,-0.0143936309101813,0.0102726141081745,0.0006174330909737,0.0006292982155748,0.0010976548795351,0.0010868292016387,0.0928416455548252,0.93,0.13,557.7433755621314,2.779179260303942e-07,6.256030470782944e-09,182250.8772120317,0.9628781104927898,4.11122153053636e-05,0.2539771139013447,0.000154145146416,0.0001684461434734,2.962701878439353e-05,0.0036415520449423,197304.1705345502,0.0084320565283106,9.807795896314346e-07,6,A,6,-1,optimistic,830.8933755621314,161.57433974274403,1.947240765206516,1.4117384040728211,65417.93986415544,217317.23866266577,434631.6453586008,94378.06933448809,4.965181469041974e-10,93443.59673987296,K_s_malinauskas,D_l_fukada,False,31.08102512359619
982.303619322454,0.0465,20,250,49604.44609718999,8.339561441586554e-11,49115.1809661227,51053.31470315063,49112.42561830451,5.510592584972994,5.130779327246228,0.0099615866508719,-0.0283795207889063,0.0100182483901203,0.000112203633105,0.000115582286324,0.0011286297968794,0.001117497746248,0.1501016664464307,0.93,0.13,515.1643710210919,2.232765860240273e-07,4.231798375900263e-09,32739.02463347233,7.48953873992813,2.908848019150883e-05,0.6727941399573393,0.0008580917869975,0.0009868223089829,0.0002304473458439,0.0076524904368397,123134.50967450626,0.0156026597079031,7.628781516401963e-06,7,A,7,-1,optimistic,788.3143710210919,870.0105448556204,1.215243125334382,3.98045985866338,34383.207208078464,114220.40499441203,228439.3203509469,49604.44609538047,1.3076035886942143e-10,49113.29428752876,K_s_malinauskas,D_l_fukada,True,31.111751794815063
2892.9988754274023,0.0465,20,250,146091.2004048257,6.041586950588566e-11,144649.9437713701,148359.66745305996,144635.79430924935,28.298001490558764,27.018276740623005,0.0099637552278182,-0.0152903217375569,0.0100625581829662,0.0001956500576202,0.0001995158119017,0.0006401661375809,0.0006338506052987,0.0956053920624354,0.93,0.13,500.7002107799053,2.061417233286521e-07,3.669452347012986e-09,139585.93107227306,1.3540749886062913,2.521803073357365e-05,0.2672302168924065,0.0002012601695349,0.0002204902093862,4.16638458032705e-05,0.0045188041653823,193907.75983175263,0.0093401732092664,1.3792494576242758e-06,8,A,8,-1,optimistic,773.8502107799053,240.374299594323,1.9137207977473736,3.1791453221812844,101262.78023824823,336393.1572429792,672781.9193663299,146091.20040096832,9.473011038458004e-11,144644.700967112,K_s_malinauskas,D_l_fukada,False,27.127460956573486
803.3780523357159,0.0465,20,250,40568.92875356872,3.0533092169038203e-10,40168.9026167858,41781.71873619871,40161.8937344868,14.01694925268628,13.030513833753568,0.0099586025687383,-0.0290268093155119,0.0101348562339428,0.000349011163302,0.0003597431831439,0.0016451635773005,0.0016289415953448,0.153566747837126,0.93,0.13,570.621195062995,2.95652235845018e-07,6.986688306020673e-09,57640.176881529005,4.168845132778107,4.843981347138983e-05,0.4938550686625374,0.0004873872647898,0.0005621808310595,0.0001282721579316,0.0059214206237853,118959.64546019676,0.0130878058484043,4.246350783143836e-06,9,A,9,-1,optimistic,843.7711950629949,438.4159314203412,1.174040419049561,2.177898255176842,28120.25827369052,93415.00149127896,186828.7878482821,40568.92874815084,4.787447538083814e-10,40167.23972740086,K_s_malinauskas,D_l_fukada,True,26.982107162475582
