# Pi=0.2004  tau_fitted_h=30.7967  n0_fitted_mol=3.6270e-12
t_seconds,n_T2_salt_mol
5.438450e+04,2.220810e-12
5.466197e+04,2.215259e-12
5.493944e+04,2.209722e-12
5.521691e+04,2.204198e-12
5.549438e+04,2.198689e-12
5.577186e+04,2.193193e-12
5.604933e+04,2.187711e-12
5.632680e+04,2.182242e-12
5.660427e+04,2.176788e-12
5.688174e+04,2.171346e-12
5.715922e+04,2.165919e-12
5.743669e+04,2.160505e-12
5.771416e+04,2.155105e-12
5.799163e+04,2.149718e-12
5.826910e+04,2.144344e-12
5.854658e+04,2.138984e-12
5.882405e+04,2.133638e-12
5.910152e+04,2.128305e-12
5.937899e+04,2.122985e-12
5.965646e+04,2.117678e-12
5.993394e+04,2.112385e-12
6.021141e+04,2.107105e-12
6.048888e+04,2.101838e-12
6.076635e+04,2.096584e-12
6.104382e+04,2.091344e-12
6.132129e+04,2.086116e-12
6.159877e+04,2.080902e-12
6.187624e+04,2.075700e-12
6.215371e+04,2.070512e-12
6.243118e+04,2.065336e-12
6.270865e+04,2.060174e-12
6.298613e+04,2.055024e-12
6.326360e+04,2.049888e-12
6.354107e+04,2.044764e-12
6.381854e+04,2.039653e-12
6.409601e+04,2.034554e-12
6.437349e+04,2.029469e-12
6.465096e+04,2.024396e-12
6.492843e+04,2.019336e-12
6.520590e+04,2.014288e-12
6.548337e+04,2.009253e-12
6.576085e+04,2.004231e-12
6.603832e+04,1.999221e-12
6.631579e+04,1.994224e-12
6.659326e+04,1.989239e-12
6.687073e+04,1.984267e-12
6.714821e+04,1.979307e-12
6.742568e+04,1.974360e-12
6.770315e+04,1.969425e-12
6.798062e+04,1.964502e-12
6.825809e+04,1.959591e-12
6.853556e+04,1.954693e-12
6.881304e+04,1.949807e-12
6.909051e+04,1.944934e-12
6.936798e+04,1.940072e-12
6.964545e+04,1.935223e-12
6.992292e+04,1.930385e-12
7.020040e+04,1.925560e-12
7.047787e+04,1.920747e-12
7.075534e+04,1.915946e-12
7.103281e+04,1.911157e-12
7.131028e+04,1.906380e-12
7.158776e+04,1.901615e-12
7.186523e+04,1.896861e-12
7.214270e+04,1.892120e-12
7.242017e+04,1.887391e-12
7.269764e+04,1.882673e-12
7.297512e+04,1.877967e-12
7.325259e+04,1.873273e-12
7.353006e+04,1.868590e-12
7.380753e+04,1.863920e-12
7.408500e+04,1.859261e-12
7.436248e+04,1.854613e-12
7.463995e+04,1.849977e-12
7.491742e+04,1.845353e-12
7.519489e+04,1.840741e-12
7.547236e+04,1.836140e-12
7.574983e+04,1.831550e-12
7.602731e+04,1.826972e-12
7.630478e+04,1.822405e-12
7.658225e+04,1.817850e-12
7.685972e+04,1.813306e-12
7.713719e+04,1.808773e-12
7.741467e+04,1.804252e-12
7.769214e+04,1.799742e-12
7.796961e+04,1.795244e-12
7.824708e+04,1.790756e-12
7.852455e+04,1.786280e-12
7.880203e+04,1.781815e-12
7.907950e+04,1.777361e-12
7.935697e+04,1.772919e-12
7.963444e+04,1.768487e-12
7.991191e+04,1.764067e-12
8.018939e+04,1.759657e-12
8.046686e+04,1.755259e-12
8.074433e+04,1.750871e-12
8.102180e+04,1.746495e-12
8.129927e+04,1.742129e-12
8.157675e+04,1.737775e-12
8.185422e+04,1.733431e-12
8.213169e+04,1.729098e-12
8.240916e+04,1.724776e-12
8.268663e+04,1.720465e-12
8.296410e+04,1.716165e-12
8.324158e+04,1.711875e-12
8.351905e+04,1.707596e-12
8.379652e+04,1.703328e-12
8.407399e+04,1.699070e-12
8.435146e+04,1.694823e-12
8.462894e+04,1.690587e-12
8.490641e+04,1.686361e-12
8.518388e+04,1.682146e-12
8.546135e+04,1.677941e-12
8.573882e+04,1.673747e-12
8.601630e+04,1.669563e-12
8.629377e+04,1.665390e-12
8.657124e+04,1.661227e-12
8.684871e+04,1.657075e-12
8.712618e+04,1.652933e-12
8.740366e+04,1.648801e-12
8.768113e+04,1.644680e-12
8.795860e+04,1.640569e-12
8.823607e+04,1.636468e-12
8.851354e+04,1.632377e-12
8.879102e+04,1.628297e-12
8.906849e+04,1.624227e-12
8.934596e+04,1.620167e-12
8.962343e+04,1.616117e-12
8.990090e+04,1.612078e-12
9.017837e+04,1.608048e-12
9.045585e+04,1.604029e-12
9.073332e+04,1.600019e-12
9.101079e+04,1.596020e-12
9.128826e+04,1.592031e-12
9.156573e+04,1.588051e-12
9.184321e+04,1.584082e-12
9.212068e+04,1.580122e-12
9.239815e+04,1.576173e-12
9.267562e+04,1.572233e-12
9.295309e+04,1.568303e-12
9.323057e+04,1.564383e-12
9.350804e+04,1.560472e-12
9.378551e+04,1.556572e-12
9.406298e+04,1.552681e-12
9.434045e+04,1.548800e-12
9.461793e+04,1.544929e-12
9.489540e+04,1.541067e-12
9.517287e+04,1.537215e-12
9.545034e+04,1.533372e-12
9.572781e+04,1.529540e-12
9.600529e+04,1.525716e-12
9.628276e+04,1.521903e-12
9.656023e+04,1.518099e-12
9.683770e+04,1.514304e-12
9.711517e+04,1.510519e-12
9.739264e+04,1.506743e-12
9.767012e+04,1.502977e-12
9.794759e+04,1.499220e-12
9.822506e+04,1.495473e-12
9.850253e+04,1.491735e-12
9.878000e+04,1.488006e-12
9.905748e+04,1.484287e-12
9.933495e+04,1.480576e-12
9.961242e+04,1.476876e-12
9.988989e+04,1.473184e-12
1.001674e+05,1.469502e-12
1.004448e+05,1.465828e-12
1.007223e+05,1.462165e-12
1.009998e+05,1.458510e-12
1.012773e+05,1.454864e-12
1.015547e+05,1.451227e-12
1.018322e+05,1.447600e-12
1.021097e+05,1.443982e-12
1.023871e+05,1.440372e-12
1.026646e+05,1.436772e-12
1.029421e+05,1.433181e-12
1.032196e+05,1.429598e-12
1.034970e+05,1.426025e-12
1.037745e+05,1.422460e-12
1.040520e+05,1.418905e-12
1.043294e+05,1.415358e-12
1.046069e+05,1.411820e-12
1.048844e+05,1.408291e-12
1.051619e+05,1.404771e-12
1.054393e+05,1.401260e-12
1.057168e+05,1.397757e-12
1.059943e+05,1.394263e-12
1.062717e+05,1.390778e-12
1.065492e+05,1.387302e-12
1.068267e+05,1.383834e-12
1.071042e+05,1.380375e-12
1.073816e+05,1.376925e-12
1.076591e+05,1.373483e-12
1.079366e+05,1.370050e-12
1.082140e+05,1.366625e-12
1.084915e+05,1.363209e-12
1.087690e+05,1.359802e-12
1.090465e+05,1.356403e-12
1.093239e+05,1.353012e-12
1.096014e+05,1.349631e-12
1.098789e+05,1.346257e-12
1.101564e+05,1.342892e-12
1.104338e+05,1.339535e-12
1.107113e+05,1.336187e-12
